Date,Open,High,Low,Close,Volume
2006-04-17,35.4,36.03,34.99,35.01,2049239
2006-04-18,37.51,37.94,37.36,37.69,2056701
2006-04-19,37.11,37.6,37.03,37.19,2714449
2006-04-20,36.92,37.28,36.03,36.68,3259555
2006-04-21,37.19,38.13,36.7,37.22,4547569
2006-04-24,35.98,36.51,35.27,35.83,2399005
2006-04-25,37.08,37.4,36.64,37.13,2536580
2006-04-26,37.47,37.84,37.4,37.74,1933816
2006-04-27,38.18,38.84,37.99,38.82,5358863
2006-04-28,37.03,37.37,36.13,36.53,2770464
2006-05-01,36.89,37.89,36.84,37.75,2285332
2006-05-02,37.12,37.13,35.89,36.34,3294029
2006-05-03,38.01,38.18,37.69,37.95,2267950
2006-05-04,37.69,38.01,37.47,37.93,1666472
2006-05-05,37.22,37.97,36.78,37.33,1897710
2006-05-08,37.89,38.36,37.25,37.64,3808912
2006-05-09,37.68,37.97,37.37,37.59,1622744
2006-05-10,38.24,38.84,37.51,38.04,3278627
2006-05-11,37.28,37.59,36.96,37.04,3563499
2006-05-12,37.54,38.01,37.12,37.88,3050522
2006-05-15,37.54,38.29,37.13,37.69,4688729
2006-05-16,36.94,37.35,36.43,36.66,2091652
2006-05-17,38.04,38.49,37.67,38.4,2411420
2006-05-18,38.06,38.44,38.01,38.18,2331460
2006-05-19,37.94,38.39,37.46,38.27,3835658
2006-05-22,37.84,38.11,37.58,38.09,4350171
2006-05-23,37.17,37.66,36.64,36.84,4027941
2006-05-24,37.81,38.49,37.07,37.58,5301894
2006-05-25,37.89,38.21,37.74,38.19,2410775
2006-05-26,37.66,38.32,37.64,37.9,3260574
2006-05-29,38.08,38.25,38.06,38.08,3201165
2006-05-30,38.46,38.71,38.04,38.51,2412727
2006-05-31,39.39,40.09,39.35,39.9,4096874
2006-06-01,38.41,38.53,37.52,38.17,3233693
2006-06-02,38.5,39.02,38.38,38.72,2058924
2006-06-05,38.34,38.47,37.62,38.26,5381185
2006-06-06,37.27,37.62,36.84,37.18,1679352
2006-06-07,38.45,39.18,38.17,38.89,2310694
2006-06-08,38.54,39.12,38.35,38.87,3790435
2006-06-09,40.02,40.46,39.64,40.35,2472346
2006-06-12,38.47,39.17,38.18,38.99,2415015
2006-06-13,38.8,39.26,38.28,38.81,2998771
2006-06-14,38.64,39.32,38.32,38.92,5415612
2006-06-15,38.0,38.11,37.55,37.88,2498974
2006-06-16,39.43,39.88,39.2,39.56,1931413
2006-06-19,39.24,39.69,38.89,39.18,2852564
2006-06-20,39.3,39.37,38.94,39.34,3924050
2006-06-21,38.32,38.97,38.28,38.56,2451661
2006-06-22,39.75,39.91,39.39,39.42,2363561
2006-06-23,38.1,39.35,37.65,38.94,1802186
2006-06-26,39.34,39.48,38.6,38.93,4707393
2006-06-27,40.34,40.4,39.59,39.85,2795160
2006-06-28,38.47,38.96,38.17,38.93,4762681
2006-06-29,38.77,39.39,38.4,39.08,4073224
2006-06-30,39.21,39.81,39.01,39.46,5328464
2006-07-03,38.88,39.25,38.74,39.14,2526553
2006-07-04,38.3,38.72,37.95,38.29,2735202
2006-07-05,39.31,39.34,38.84,38.95,1645271
2006-07-06,38.67,38.99,38.29,38.7,3715685
2006-07-07,39.63,39.69,39.32,39.36,2468452
2006-07-10,38.84,39.39,38.33,39.23,5243797
2006-07-11,40.36,40.67,39.9,40.3,3014542
2006-07-12,39.0,39.13,38.32,38.67,3663414
2006-07-13,39.31,39.54,38.69,39.19,4430184
2006-07-14,40.04,40.7,39.4,40.2,1576898
2006-07-17,38.85,39.03,38.12,38.62,4052851
2006-07-18,39.76,40.23,39.37,39.44,4795097
2006-07-19,40.45,40.62,40.41,40.55,4151888
2006-07-20,38.74,39.25,38.57,38.84,1788316
2006-07-21,39.86,40.45,39.35,39.66,3508954
2006-07-24,39.94,40.14,39.35,39.76,4653385
2006-07-25,40.3,40.53,40.14,40.39,4074754
2006-07-26,39.13,39.54,38.21,38.55,3329553
2006-07-27,39.12,39.38,38.41,38.55,4541341
2006-07-28,40.26,40.64,39.8,39.98,2539504
2006-07-31,40.17,40.35,40.06,40.08,3972151
2006-08-01,40.18,40.62,40.07,40.3,3232767
2006-08-02,40.28,41.14,40.25,40.87,3605058
2006-08-03,39.7,40.58,39.6,40.05,4969285
2006-08-04,40.29,40.64,39.72,40.23,5224044
2006-08-07,40.37,40.73,40.25,40.36,2293719
2006-08-08,39.8,40.02,38.58,39.4,4941532
2006-08-09,41.39,41.59,40.98,41.38,5114702
2006-08-10,40.6,40.81,40.14,40.48,4444088
2006-08-11,39.64,40.14,39.51,39.77,2215080
2006-08-14,40.79,41.0,40.01,40.45,3175843
2006-08-15,39.85,40.41,39.66,40.06,1534701
2006-08-16,40.94,42.27,40.62,41.56,4729028
2006-08-17,41.21,41.68,40.35,41.16,4362689
2006-08-18,40.06,40.46,39.78,40.22,3221610
2006-08-21,41.17,41.99,40.64,41.45,3680712
2006-08-22,40.88,41.1,40.56,40.72,3839767
2006-08-23,41.17,41.36,40.87,41.26,3640794
2006-08-24,41.85,41.96,41.2,41.86,4114235
2006-08-25,40.61,40.72,40.43,40.65,1991036
2006-08-28,40.34,40.57,39.37,40.03,1827304
2006-08-29,40.3,40.61,39.86,40.31,3352610
2006-08-30,40.38,41.22,40.2,40.58,3962616
2006-08-31,40.87,41.81,40.44,41.45,4210241
2006-09-01,41.16,41.8,40.66,41.54,4933803
2006-09-04,41.16,42.49,40.74,42.02,2642953
2006-09-05,41.53,41.67,41.21,41.22,5461352
2006-09-06,41.08,41.78,40.93,41.43,5478702
2006-09-07,41.99,42.52,41.74,42.06,5474680
2006-09-08,41.0,41.88,40.71,41.87,1826916
2006-09-11,42.83,43.36,42.08,42.5,5097706
2006-09-12,41.61,41.98,40.94,41.28,1812250
2006-09-13,40.76,40.98,40.49,40.52,2105409
2006-09-14,40.67,41.1,39.45,39.82,2574135
2006-09-15,41.65,42.4,41.01,41.44,4489179
2006-09-18,41.26,41.6,40.55,40.96,4155182
2006-09-19,41.87,42.28,41.35,41.93,2356101
2006-09-20,41.76,42.11,41.29,41.9,3225690
2006-09-21,41.47,42.35,41.08,42.22,4780772
2006-09-22,41.05,41.9,40.76,41.43,4757945
2006-09-25,40.69,40.82,40.43,40.46,3114737
2006-09-26,41.37,41.68,40.62,41.01,2392964
2006-09-27,42.19,42.59,41.85,42.39,3461275
2006-09-28,41.85,42.24,40.96,41.32,1903119
2006-09-29,41.01,42.11,40.97,41.74,4255532
2006-10-02,41.9,42.88,41.82,42.37,5473915
2006-10-03,42.07,42.27,41.37,41.88,2635564
2006-10-04,41.35,41.6,40.37,40.66,4167088
2006-10-05,42.01,42.66,41.58,42.55,1625991
2006-10-06,41.99,42.21,41.64,41.95,1902732
2006-10-09,41.31,42.18,41.01,41.81,2006079
