Datetime,Consumption,Festivals/Special_events,Power_Consumption_diff
2007-06-01,133.36,0,-0.48
2007-07-01,127.05,3,-6.31
2007-08-01,127.22,4,0.18
2007-09-01,119.55,9,-7.67
2007-10-01,122.74,9,3.19
2007-11-01,126.5,4,3.75
2007-12-01,127.56,6,1.07
2008-01-01,139.95,3,12.39
2008-02-01,143.83,0,3.87
2008-03-01,144.49,4,0.67
2008-04-01,142.55,6,-1.95
2008-05-01,134.51,9,-8.03
2008-06-01,133.85,9,-0.67
2008-07-01,129.51,5,-4.34
2008-08-01,124.36,4,-5.15
2008-09-01,125.94,3,1.58
2008-10-01,129.89,1,3.95
2008-11-01,139.83,3,9.94
2008-12-01,138.34,9,-1.49
2009-01-01,144.02,9,5.68
2009-02-01,146.7,2,2.68
2009-03-01,141.02,9,-5.69
2009-04-01,147.6,0,6.58
2009-05-01,144.64,7,-2.96
2009-06-01,149.6,4,4.96
2009-07-01,134.33,3,-15.27
2009-08-01,133.0,7,-1.33
2009-09-01,130.67,6,-2.33
2009-10-01,127.82,1,-2.84
2009-11-01,141.08,0,13.26
2009-12-01,144.87,3,3.79
2010-01-01,150.38,7,5.51
2010-02-01,147.59,1,-2.79
2010-03-01,158.53,2,10.94
2010-04-01,146.32,0,-12.21
2010-05-01,150.97,0,4.65
2010-06-01,152.73,2,1.77
2010-07-01,135.36,4,-17.37
2010-08-01,133.75,2,-1.61
2010-09-01,135.42,0,1.68
2010-10-01,134.7,0,-0.72
2010-11-01,134.53,7,-0.18
2010-12-01,146.35,9,11.83
2011-01-01,147.18,1,0.83
2011-02-01,157.34,2,10.16
2011-03-01,153.46,1,-3.88
2011-04-01,162.35,2,8.89
2011-05-01,149.71,6,-12.64
2011-06-01,146.9,0,-2.8
2011-07-01,146.8,9,-0.11
2011-08-01,135.31,7,-11.49
2011-09-01,140.16,9,4.85
2011-10-01,146.17,9,6.01
2011-11-01,138.52,9,-7.65
2011-12-01,151.04,1,12.52
2012-01-01,156.69,2,5.65
2012-02-01,162.79,8,6.1
2012-03-01,156.41,6,-6.38
2012-04-01,155.09,3,-1.32
2012-05-01,159.15,9,4.06
2012-06-01,153.6,4,-5.55
2012-07-01,148.77,1,-4.83
2012-08-01,145.84,7,-2.92
2012-09-01,140.75,3,-5.09
2012-10-01,146.09,8,5.34
2012-11-01,150.34,4,4.26
2012-12-01,151.67,8,1.32
2013-01-01,167.34,3,15.67
2013-02-01,165.78,9,-1.56
2013-03-01,160.81,4,-4.97
2013-04-01,167.22,8,6.4
2013-05-01,157.38,7,-9.83
2013-06-01,159.78,2,2.4
2013-07-01,156.62,0,-3.16
2013-08-01,145.39,2,-11.23
2013-09-01,151.54,3,6.15
2013-10-01,151.03,1,-0.51
2013-11-01,156.68,0,5.65
2013-12-01,166.33,6,9.65
2014-01-01,163.11,7,-3.22
2014-02-01,165.09,6,1.98
2014-03-01,166.24,4,1.15
2014-04-01,165.55,0,-0.69
2014-05-01,165.19,6,-0.35
2014-06-01,162.22,6,-2.98
2014-07-01,157.31,8,-4.91
2014-08-01,156.21,2,-1.11
2014-09-01,151.96,8,-4.24
2014-10-01,159.42,0,7.45
2014-11-01,156.55,0,-2.86
2014-12-01,173.85,3,17.29
2015-01-01,170.82,8,-3.03
2015-02-01,168.9,5,-1.92
2015-03-01,169.74,2,0.84
2015-04-01,174.96,0,5.23
2015-05-01,168.83,3,-6.13
2015-06-01,167.93,8,-0.9
2015-07-01,162.32,2,-5.61
2015-08-01,156.83,8,-5.49
2015-09-01,152.74,6,-4.08
2015-10-01,151.76,3,-0.98
2015-11-01,160.05,2,8.29
2015-12-01,170.61,9,10.56
2016-01-01,173.39,4,2.78
2016-02-01,171.57,4,-1.83
2016-03-01,178.93,2,7.37
2016-04-01,178.79,8,-0.14
2016-05-01,170.41,3,-8.39
2016-06-01,169.91,4,-0.5
2016-07-01,164.88,3,-5.03
2016-08-01,156.77,4,-8.11
